tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,JXPATH-7,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,1,352,4860,9,0,0,0,0,1029,0,0.0,872,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,FREEHEP-10,org.freehep.math.minuit.MnUserTransformation,1,472,17905,2998,78,0,0,0,169,136,80.47337,72,38,52.77778,112,72,64.28571,24,21.428572,88,10,2
evosuite,JXPATH-1,org.apache.commons.jxpath.util.BasicTypeConverter,1,350,18897,3089,57,0,0,0,233,125,53.648067,298,187,62.751682,122,81,66.39344,56,45.901638,66,10,2
evosuite,BCEL-1,org.apache.bcel.classfile.Utility,1,350,21006,14,0,0,0,0,501,0,0.0,344,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,BCEL-2,org.apache.bcel.verifier.structurals.InstConstraintVisitor,1,349,21006,15383,147,0,0,0,1076,46,4.275093,776,6,0.77319586,243,5,2.0576131,1,0.41152263,242,10,2
evosuite,BCEL-3,org.apache.bcel.generic.ConstantPoolGen,1,373,18171,11021,58,0,1,0,280,198,70.71428,140,82,58.571426,163,138,84.662575,53,32.51534,110,10,2
evosuite,BCEL-4,org.apache.bcel.generic.InstructionList,1,390,19232,13011,78,0,0,0,431,300,69.60557,219,133,60.730595,118,82,69.49152,56,47.457626,62,10,2
evosuite,FREEHEP-8,org.freehep.math.minuit.MnPrint,1,350,18074,4383,27,0,8,0,210,33,15.714286,72,15,20.833332,170,31,18.235294,0,0.0,170,10,2
evosuite,FREEHEP-9,org.freehep.math.minuit.MnMinos,1,341,16912,3539,20,0,0,0,111,11,9.90991,74,1,1.3513514,78,0,0.0,0,0.0,78,10,2
evosuite,FREEHEP-6,org.freehep.math.minuit.SimplexBuilder,1,379,19491,2151,1,0,0,0,97,2,2.0618556,54,0,0.0,100,0,0.0,0,0.0,100,10,2
evosuite,FREEHEP-7,org.freehep.math.minuit.MnHesse,1,367,17912,7848,24,0,0,0,126,97,76.98412,48,33,68.75,127,99,77.95275,22,17.322836,105,10,2
evosuite,FREEHEP-1,org.freehep.math.minuit.MnPlot,1,347,17615,4037,21,0,2,0,203,188,92.61084,116,101,87.06896,116,112,96.55172,27,23.275862,89,10,2
evosuite,FREEHEP-4,org.freehep.math.minuit.MnAlgebraicSymMatrix,1,589,21007,14,0,0,0,0,237,0,0.0,126,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,FREEHEP-5,org.freehep.math.minuit.MnUserParameterState,1,350,16890,5584,105,0,0,0,262,148,56.48855,110,33,30.000002,135,79,58.518517,23,17.037037,112,10,2
evosuite,FREEHEP-2,org.freehep.math.minuit.MnLineSearch,1,350,17262,2391,1,0,0,0,104,9,8.653847,94,0,0.0,140,3,2.1428573,0,0.0,140,10,2
evosuite,FREEHEP-3,org.freehep.math.minuit.MnFunctionCross,1,456,19066,3665,1,0,0,0,220,8,3.6363635,160,0,0.0,132,0,0.0,0,0.0,132,10,2
evosuite,IMAGE-1,org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,1,358,20130,15654,21,0,4,0,304,94,30.921055,180,27,15.000001,107,31,28.971962,5,4.6728973,102,10,2
evosuite,RE2J-3,com.google.re2j.Simplify,1,396,16438,1489,1,0,0,0,64,3,4.6875,56,1,1.7857144,58,2,3.4482758,2,3.4482758,56,10,2
evosuite,IMAGE-3,org.apache.commons.imaging.formats.bmp.BmpImageParser,1,638,20183,9372,36,0,0,0,380,144,37.894737,193,51,26.42487,120,29,24.166666,9,7.5000005,111,10,2
evosuite,RE2J-2,com.google.re2j.CharClass,1,505,21016,24,0,0,0,0,176,0,0.0,112,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,IMAGE-2,org.apache.commons.imaging.common.RationalNumber,1,350,16513,2493,21,0,0,0,76,66,86.84211,60,39,65.0,96,80,83.33333,22,22.916668,74,10,2
evosuite,RE2J-5,com.google.re2j.Compiler,1,361,16576,4453,3,0,0,0,117,25,21.367521,85,4,4.7058825,103,18,17.475729,3,2.9126215,100,10,2
evosuite,RE2J-4,com.google.re2j.Utils,1,366,17284,2291,35,0,0,0,86,65,75.5814,96,81,84.375,117,114,97.4359,38,32.478634,79,10,2
evosuite,IMAGE-4,org.apache.commons.imaging.formats.tiff.TiffField,1,788,17493,4685,63,0,1,0,253,106,41.897236,134,44,32.83582,184,73,39.673912,27,14.673912,157,10,2
evosuite,RE2J-7,com.google.re2j.Regexp,1,353,21006,27,0,0,0,0,164,0,0.0,119,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,RE2J-6,com.google.re2j.Machine,1,637,18043,2843,1,0,0,0,159,0,0.0,121,0,0.0,104,0,0.0,0,0.0,104,10,2
evosuite,RE2J-8,com.google.re2j.RE2,1,440,19089,6568,58,0,0,0,204,199,97.54902,98,88,89.79591,167,167,100.0,75,44.91018,92,10,2
evosuite,LA4J-7,org.la4j.matrix.sparse.CCSMatrix,1,399,21006,28,0,0,0,0,339,0,0.0,210,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-9,com.google.gson.reflect.TypeToken,1,382,16549,3484,27,0,2,0,93,53,56.989246,60,29,48.333332,67,43,64.17911,18,26.865673,49,10,2
evosuite,LA4J-6,org.la4j.linear.ForwardBackSubstitutionSolver,1,353,16348,9729,8,0,0,0,26,15,57.692307,20,6,30.000002,36,17,47.22222,3,8.333334,33,10,2
evosuite,GSON-6,com.google.gson.internal.bind.JsonTreeReader,1,360,16835,2464,31,0,0,0,165,54,32.727272,86,19,22.093023,124,32,25.80645,26,20.967741,98,10,2
evosuite,LA4J-9,org.la4j.decomposition.SingularValueDecompositor,1,389,21005,12996,12,0,0,0,265,62,23.396227,175,37,21.142857,161,29,18.012423,2,1.242236,159,10,2
evosuite,GSON-7,com.google.gson.GsonBuilder,1,369,16535,12247,15,0,0,0,94,79,84.04256,38,16,42.105263,50,40,80.0,37,74.0,13,10,2
evosuite,LA4J-8,org.la4j.matrix.dense.Basic2DMatrix,1,407,20464,6330,38,0,0,0,105,76,72.38095,68,39,57.352943,110,89,80.90909,62,56.363636,48,10,2
evosuite,GSON-4,com.google.gson.stream.JsonReader,1,364,21006,7412,6,0,0,0,656,56,8.536586,468,28,5.982906,161,12,7.4534163,1,0.621118,160,10,2
evosuite,LA4J-3,org.la4j.matrix.sparse.CRSMatrix,1,375,21006,19,0,0,0,0,339,0,0.0,210,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-5,com.google.gson.internal.LinkedTreeMap,1,485,18140,2653,13,0,0,0,190,51,26.842106,150,19,12.666666,115,28,24.347826,20,17.391304,95,10,2
evosuite,LA4J-2,org.la4j.decomposition.EigenDecompositor,1,352,21006,8835,17,0,4,0,429,53,12.354312,222,14,6.3063064,241,19,7.8838177,2,0.8298756,239,10,2
evosuite,GSON-2,com.google.gson.internal.LinkedHashTreeMap,1,386,18990,3174,5,0,0,0,234,46,19.65812,170,17,10.0,164,37,22.560974,14,8.536586,150,10,2
evosuite,LA4J-5,org.la4j.Matrix,1,599,21006,30,0,0,0,0,520,0,0.0,280,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-3,com.google.gson.JsonPrimitive,1,538,17549,4660,43,0,0,0,82,66,80.48781,80,50,62.5,87,77,88.505745,42,48.27586,45,10,2
evosuite,LA4J-4,org.la4j.matrix.dense.Basic1DMatrix,1,350,21006,27,0,0,0,0,116,0,0.0,66,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-1,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,1,383,17028,7983,8,0,1,0,63,6,9.523809,36,0,0.0,36,0,0.0,0,0.0,36,10,2
evosuite,LA4J-1,org.la4j.vector.sparse.CompressedVector,1,349,18475,8774,61,0,1,0,198,135,68.181816,126,73,57.93651,102,69,67.64706,42,41.17647,60,10,2
evosuite,JXPATH-10,org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,1,359,19292,10022,30,0,3,0,271,59,21.771217,184,35,19.02174,197,51,25.888325,28,14.213199,169,10,2
evosuite,BCEL-10,org.apache.bcel.verifier.structurals.Subroutines,1,360,17727,4670,7,0,0,0,119,8,6.7226896,72,1,1.388889,75,4,5.3333335,1,1.3333334,74,10,2
evosuite,RE2J-1,com.google.re2j.Parser,1,364,19897,3838,34,0,0,0,760,395,51.973682,565,253,44.778763,203,116,57.14286,60,29.55665,143,10,2
evosuite,OKHTTP-5,okhttp3.internal.tls.DistinguishedNameParser,2,355,17158,2634,1,0,0,0,156,0,0.0,168,0,0.0,200,0,0.0,0,0.0,200,10,2
evosuite,OKHTTP-6,okhttp3.CacheControl,2,939,18986,5946,27,0,0,0,128,102,79.6875,70,44,62.857143,59,52,88.1356,6,10.169491,53,10,2
evosuite,OKHTTP-7,okhttp3.internal.tls.OkHostnameVerifier,2,824,19590,6663,17,0,0,0,80,33,41.25,64,17,26.5625,63,25,39.68254,6,9.523809,57,10,2
evosuite,GSON-10,com.google.gson.internal.Excluder,2,357,18346,10634,18,0,0,0,89,55,61.79775,82,36,43.90244,77,45,58.441555,20,25.974026,57,10,2
evosuite,OKHTTP-8,okhttp3.HttpUrl,2,590,7317,7,0,0,0,0,221,0,0.0,183,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,OKHTTP-1,okhttp3.Cookie,2,354,18061,4112,27,0,0,0,236,21,8.898305,208,8,3.846154,108,7,6.4814816,2,1.8518518,106,10,2
evosuite,OKHTTP-2,okhttp3.internal.platform.AndroidPlatform,2,360,17135,4964,15,0,0,0,88,27,30.681818,30,10,33.333336,34,16,47.058823,12,35.294117,22,10,2
evosuite,OKHTTP-3,okhttp3.ConnectionSpec,2,352,17818,8530,41,0,0,0,82,66,80.48781,66,45,68.181816,71,61,85.9155,26,36.619717,45,10,2
evosuite,OKHTTP-4,okhttp3.internal.http.HttpHeaders,2,748,16585,3225,26,0,1,0,83,33,39.759037,62,18,29.032257,71,27,38.028168,10,14.084508,61,10,2
evosuite,BCEL-5,org.apache.bcel.verifier.statics.Pass3aVerifier,2,371,19230,6603,10,0,1,0,120,13,10.833333,72,5,6.9444447,69,9,13.043478,3,4.347826,66,10,2
evosuite,JXPATH-4,org.apache.commons.jxpath.util.MethodLookupUtils,2,627,18834,4086,16,0,0,0,139,109,78.41727,102,77,75.4902,92,78,84.78261,63,68.478264,29,10,2
evosuite,BCEL-6,org.apache.bcel.verifier.structurals.LocalVariables,2,360,19513,5942,20,0,0,0,62,45,72.58065,54,29,53.7037,50,45,90.0,27,54.000004,23,10,2
evosuite,JXPATH-5,org.apache.commons.jxpath.ri.compiler.Step,2,348,16728,3029,21,0,0,0,54,44,81.48148,50,33,66.0,42,33,78.57143,13,30.952381,29,10,2
evosuite,BCEL-7,org.apache.bcel.util.Class2HTML,2,929,18766,6925,14,0,0,0,95,57,60.000004,45,22,48.88889,42,27,64.28571,15,35.714287,27,10,2
evosuite,JXPATH-2,org.apache.commons.jxpath.ri.compiler.Path,2,376,17231,5222,34,0,3,0,111,65,58.55856,86,49,56.97674,88,56,63.636364,39,44.31818,49,10,2
evosuite,LA4J-10,org.la4j.linear.GaussianSolver,2,351,16861,4772,16,0,0,0,37,13,35.135136,22,7,31.818182,53,16,30.188679,2,3.7735848,51,10,2
evosuite,BCEL-8,org.apache.bcel.generic.BranchInstruction,2,362,16982,7019,20,0,0,0,61,36,59.016396,24,9,37.5,32,19,59.375,7,21.875,25,10,2
evosuite,JXPATH-3,org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,2,363,16654,7692,17,0,0,0,62,49,79.03226,64,47,73.4375,49,42,85.71429,14,28.57143,35,10,2
evosuite,BCEL-9,org.apache.bcel.classfile.StackMapEntry,2,371,11821,27,0,0,0,0,189,0,0.0,196,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,JXPATH-8,org.apache.commons.jxpath.util.ValueUtils,2,406,16981,1828,27,0,0,0,246,93,37.80488,150,59,39.333336,152,64,42.105263,33,21.710527,119,10,2
evosuite,JXPATH-9,org.apache.commons.jxpath.ri.model.beans.PropertyIterator,2,369,17198,10479,8,0,0,0,154,27,17.532467,98,11,11.224489,122,12,9.836065,2,1.6393442,120,10,2
evosuite,JXPATH-6,org.apache.commons.jxpath.JXPathContext,2,350,17523,27,48,1,0,0,96,0,0.0,46,0,0.0,50,0,0.0,0,0.0,50,10,2
evosuite,JXPATH-7,org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,2,374,6792,20,0,0,0,0,1029,0,0.0,872,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,FREEHEP-10,org.freehep.math.minuit.MnUserTransformation,2,742,17514,2945,85,0,0,0,169,146,86.39053,72,42,58.333332,112,89,79.46429,26,23.214285,86,10,2
evosuite,JXPATH-1,org.apache.commons.jxpath.util.BasicTypeConverter,2,654,19375,4462,50,0,0,0,233,121,51.931328,298,184,61.744965,122,79,64.7541,52,42.62295,70,10,2
evosuite,BCEL-1,org.apache.bcel.classfile.Utility,2,358,21006,15,0,0,0,0,501,0,0.0,344,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,BCEL-2,org.apache.bcel.verifier.structurals.InstConstraintVisitor,2,365,21008,12807,153,0,0,0,1076,53,4.9256506,776,9,1.1597937,243,5,2.0576131,1,0.41152263,242,10,2
evosuite,BCEL-3,org.apache.bcel.generic.ConstantPoolGen,2,440,18877,7728,47,0,1,0,280,224,80.0,140,84,60.000004,163,137,84.04908,64,39.2638,99,10,2
evosuite,BCEL-4,org.apache.bcel.generic.InstructionList,2,644,20041,9647,81,0,0,0,431,307,71.2297,219,140,63.92694,118,83,70.33898,54,45.76271,64,10,2
evosuite,FREEHEP-8,org.freehep.math.minuit.MnPrint,2,751,16670,4715,28,0,8,0,210,50,23.809525,72,21,29.166666,170,42,24.705883,5,2.9411764,165,10,2
evosuite,FREEHEP-9,org.freehep.math.minuit.MnMinos,2,372,17294,2925,20,0,0,0,111,11,9.90991,74,1,1.3513514,78,0,0.0,0,0.0,78,10,2
evosuite,FREEHEP-6,org.freehep.math.minuit.SimplexBuilder,2,374,18244,1748,1,0,0,0,97,2,2.0618556,54,0,0.0,100,0,0.0,0,0.0,100,10,2
evosuite,FREEHEP-7,org.freehep.math.minuit.MnHesse,2,346,19027,6293,20,0,0,0,126,72,57.14286,48,22,45.833336,127,64,50.3937,16,12.598425,111,10,2
evosuite,FREEHEP-1,org.freehep.math.minuit.MnPlot,2,735,17967,2660,21,0,3,0,203,190,93.59606,116,95,81.89655,116,113,97.41379,25,21.551723,91,10,2
evosuite,FREEHEP-4,org.freehep.math.minuit.MnAlgebraicSymMatrix,2,376,21006,2630,22,0,0,0,237,104,43.88186,126,50,39.68254,189,74,39.15344,24,12.698414,165,10,2
evosuite,FREEHEP-5,org.freehep.math.minuit.MnUserParameterState,2,357,17009,8019,91,0,0,0,262,155,59.160305,110,38,34.545456,135,82,60.740738,26,19.259258,109,10,2
evosuite,FREEHEP-2,org.freehep.math.minuit.MnLineSearch,2,361,17059,2489,1,0,0,0,104,0,0.0,94,0,0.0,140,0,0.0,0,0.0,140,10,2
evosuite,FREEHEP-3,org.freehep.math.minuit.MnFunctionCross,2,396,21004,3574,1,0,0,0,220,8,3.6363635,160,0,0.0,132,0,0.0,0,0.0,132,10,2
evosuite,IMAGE-1,org.apache.commons.imaging.formats.tiff.write.TiffImageWriterBase,2,360,18898,20205,22,0,4,0,304,94,30.921055,180,27,15.000001,107,31,28.971962,4,3.7383177,103,10,2
evosuite,RE2J-3,com.google.re2j.Simplify,2,373,15859,1590,1,0,0,0,64,3,4.6875,56,1,1.7857144,58,2,3.4482758,2,3.4482758,56,10,2
evosuite,IMAGE-3,org.apache.commons.imaging.formats.bmp.BmpImageParser,2,345,19307,12551,39,0,0,0,380,169,44.473682,193,53,27.461142,120,42,35.0,10,8.333334,110,10,2
evosuite,RE2J-2,com.google.re2j.CharClass,2,485,21012,7,0,0,0,0,176,0,0.0,112,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,IMAGE-2,org.apache.commons.imaging.common.RationalNumber,2,349,16585,2004,17,0,0,0,76,66,86.84211,60,39,65.0,96,80,83.33333,20,20.833332,76,10,2
evosuite,RE2J-5,com.google.re2j.Compiler,2,622,16995,6225,8,0,0,0,117,36,30.769232,85,13,15.294118,103,34,33.00971,3,2.9126215,100,10,2
evosuite,RE2J-4,com.google.re2j.Utils,2,377,16731,3800,36,0,0,0,86,64,74.4186,96,76,79.16667,117,110,94.0171,28,23.931623,89,10,2
evosuite,IMAGE-4,org.apache.commons.imaging.formats.tiff.TiffField,2,366,17636,4547,65,0,0,0,253,110,43.47826,134,48,35.820896,184,77,41.847824,33,17.934782,151,10,2
evosuite,RE2J-7,com.google.re2j.Regexp,2,359,20643,6712,44,0,0,0,164,95,57.926826,119,55,46.218487,108,64,59.25926,19,17.592592,89,10,2
evosuite,RE2J-6,com.google.re2j.Machine,2,382,16952,1468,1,0,0,0,159,0,0.0,121,0,0.0,104,0,0.0,0,0.0,104,10,2
evosuite,RE2J-8,com.google.re2j.RE2,2,349,18254,4133,59,0,0,0,204,196,96.07843,98,86,87.755104,167,164,98.20359,59,35.32934,108,10,2
evosuite,LA4J-7,org.la4j.matrix.sparse.CCSMatrix,2,387,21009,27,0,0,0,0,339,0,0.0,210,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-9,com.google.gson.reflect.TypeToken,2,374,16111,5129,24,0,2,0,93,58,62.365593,60,30,50.0,67,46,68.656715,17,25.373135,50,10,2
evosuite,LA4J-6,org.la4j.linear.ForwardBackSubstitutionSolver,2,356,17305,6267,7,0,0,0,26,7,26.923079,20,2,10.0,36,2,5.555556,2,5.555556,34,10,2
evosuite,GSON-6,com.google.gson.internal.bind.JsonTreeReader,2,633,20873,5735,32,0,0,0,165,67,40.60606,86,26,30.232557,124,41,33.064518,31,25.0,93,10,2
evosuite,LA4J-9,org.la4j.decomposition.SingularValueDecompositor,2,623,21006,33086,10,0,1,0,265,42,15.849057,175,22,12.571428,161,21,13.043478,0,0.0,161,10,2
evosuite,GSON-7,com.google.gson.GsonBuilder,2,576,18031,7119,13,0,0,0,94,79,84.04256,38,16,42.105263,50,40,80.0,34,68.0,16,10,2
evosuite,LA4J-8,org.la4j.matrix.dense.Basic2DMatrix,2,1031,21043,26,0,0,0,0,105,0,0.0,68,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-4,com.google.gson.stream.JsonReader,2,784,19579,7447,3,0,0,0,656,40,6.097561,468,15,3.2051284,161,8,4.968944,1,0.621118,160,10,2
evosuite,LA4J-3,org.la4j.matrix.sparse.CRSMatrix,2,819,21036,7,0,0,0,0,339,0,0.0,210,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-5,com.google.gson.internal.LinkedTreeMap,2,343,19643,3461,7,0,0,0,190,71,37.36842,150,25,16.666668,115,41,35.652172,20,17.391304,95,10,2
evosuite,LA4J-2,org.la4j.decomposition.EigenDecompositor,2,347,21006,12484,23,0,1,0,429,77,17.948719,222,28,12.612613,241,32,13.278009,2,0.8298756,239,10,2
evosuite,GSON-2,com.google.gson.internal.LinkedHashTreeMap,2,340,21006,9,10,1,0,0,234,0,0.0,170,0,0.0,164,0,0.0,0,0.0,164,10,2
evosuite,LA4J-5,org.la4j.Matrix,2,734,21006,36,0,0,0,0,520,0,0.0,280,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-3,com.google.gson.JsonPrimitive,2,344,16016,6185,39,0,0,0,82,55,67.07317,80,43,53.750004,87,66,75.86207,39,44.827587,48,10,2
evosuite,LA4J-4,org.la4j.matrix.dense.Basic1DMatrix,2,346,21006,27,0,0,0,0,116,0,0.0,66,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,GSON-1,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,2,353,17019,7690,10,0,1,0,63,6,9.523809,36,0,0.0,36,0,0.0,0,0.0,36,10,2
evosuite,LA4J-1,org.la4j.vector.sparse.CompressedVector,2,349,19349,9232,44,0,0,0,198,134,67.676765,126,64,50.793655,102,66,64.70589,31,30.392159,71,10,2
evosuite,JXPATH-10,org.apache.commons.jxpath.ri.axes.SimplePathInterpreter,2,371,18467,6962,31,0,3,0,271,52,19.188192,184,36,19.565218,197,44,22.335026,26,13.1979685,171,10,2
evosuite,BCEL-10,org.apache.bcel.verifier.structurals.Subroutines,2,343,17626,4392,4,0,0,0,119,8,6.7226896,72,1,1.388889,75,4,5.3333335,1,1.3333334,74,10,2
evosuite,RE2J-1,com.google.re2j.Parser,2,379,21006,2464,35,0,0,0,760,403,53.026318,565,263,46.54867,203,121,59.605907,60,29.55665,143,10,2
evosuite,OKHTTP-5,okhttp3.internal.tls.DistinguishedNameParser,3,374,18695,2013,1,0,0,0,156,0,0.0,168,0,0.0,200,0,0.0,0,0.0,200,10,2
evosuite,OKHTTP-6,okhttp3.CacheControl,3,356,17375,3788,28,0,0,0,128,80,62.5,70,27,38.57143,59,35,59.322037,4,6.779661,55,10,2
evosuite,OKHTTP-7,okhttp3.internal.tls.OkHostnameVerifier,3,425,19022,3441,13,0,0,0,80,33,41.25,64,16,25.0,63,25,39.68254,7,11.111112,56,10,2
evosuite,GSON-10,com.google.gson.internal.Excluder,3,647,19474,6284,14,0,0,0,89,54,60.674156,82,35,42.682926,77,44,57.14286,16,20.77922,61,10,2
evosuite,OKHTTP-8,okhttp3.HttpUrl,3,507,7194,7,0,0,0,0,221,0,0.0,183,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,OKHTTP-1,okhttp3.Cookie,3,458,18748,2902,24,0,2,0,236,17,7.2033896,208,7,3.3653848,108,5,4.6296296,2,1.8518518,106,10,2
evosuite,OKHTTP-2,okhttp3.internal.platform.AndroidPlatform,3,444,18232,3451,16,0,0,0,88,32,36.363636,30,10,33.333336,34,18,52.941177,13,38.235294,21,10,2
evosuite,OKHTTP-3,okhttp3.ConnectionSpec,3,640,18604,8574,38,0,0,0,82,68,82.92683,66,47,71.21212,71,63,88.73239,24,33.802814,47,10,2
evosuite,OKHTTP-4,okhttp3.internal.http.HttpHeaders,3,359,17447,4190,24,0,2,0,83,32,38.554214,62,18,29.032257,71,31,43.661972,8,11.267606,63,10,2
evosuite,BCEL-5,org.apache.bcel.verifier.statics.Pass3aVerifier,3,354,19031,4911,9,0,0,0,120,13,10.833333,72,5,6.9444447,69,9,13.043478,3,4.347826,66,10,2
evosuite,JXPATH-4,org.apache.commons.jxpath.util.MethodLookupUtils,3,357,16763,3466,15,0,0,0,139,109,78.41727,102,77,75.4902,92,78,84.78261,61,66.30435,31,10,2
evosuite,BCEL-6,org.apache.bcel.verifier.structurals.LocalVariables,3,362,20164,4391,18,0,0,0,62,46,74.19355,54,32,59.25926,50,45,90.0,29,58.0,21,10,2
evosuite,JXPATH-5,org.apache.commons.jxpath.ri.compiler.Step,3,676,16149,3300,17,0,0,0,54,45,83.33333,50,34,68.0,42,34,80.952385,14,33.333336,28,10,2
evosuite,BCEL-7,org.apache.bcel.util.Class2HTML,3,344,16737,2330,17,0,0,0,95,60,63.15789,45,27,60.000004,42,29,69.047615,17,40.476192,25,10,2
