tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,OKHTTP-5,okhttp3.internal.tls.DistinguishedNameParser,1,2346,18841,1662,1,0,0,0,156,0,0.0,168,0,0.0,200,0,0.0,0,0.0,200,10,2
evosuite,OKHTTP-6,okhttp3.CacheControl,1,394,17674,3329,30,0,0,0,128,101,78.90625,70,44,62.857143,59,52,88.1356,7,11.864407,52,10,2
evosuite,OKHTTP-7,okhttp3.internal.tls.OkHostnameVerifier,1,357,16108,3403,14,0,0,0,80,35,43.75,64,20,31.25,63,28,44.444447,6,9.523809,57,10,2
evosuite,GSON-10,com.google.gson.internal.Excluder,1,355,16281,4208,15,0,0,0,89,55,61.79775,82,37,45.12195,77,45,58.441555,17,22.077923,60,10,2
evosuite,OKHTTP-8,okhttp3.HttpUrl,1,422,6071,17,0,0,0,0,221,0,0.0,183,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,OKHTTP-1,okhttp3.Cookie,1,414,17871,5635,23,0,1,0,236,29,12.288136,208,11,5.2884617,108,11,10.185185,3,2.777778,105,10,2
evosuite,OKHTTP-2,okhttp3.internal.platform.AndroidPlatform,1,585,16998,7160,14,0,0,0,88,29,32.954548,30,10,33.333336,34,17,50.0,12,35.294117,22,10,2
evosuite,OKHTTP-3,okhttp3.ConnectionSpec,1,369,16965,9422,40,0,0,0,82,67,81.70731,66,48,72.72727,71,61,85.9155,27,38.028168,44,10,2
evosuite,OKHTTP-4,okhttp3.internal.http.HttpHeaders,1,380,17829,3795,26,0,1,0,83,35,42.168674,62,19,30.645163,71,28,39.43662,12,16.901407,59,10,2
evosuite,BCEL-5,org.apache.bcel.verifier.statics.Pass3aVerifier,1,351,17902,4836,8,0,1,0,120,13,10.833333,72,5,6.9444447,69,9,13.043478,4,5.7971015,65,10,2
evosuite,JXPATH-4,org.apache.commons.jxpath.util.MethodLookupUtils,1,370,16724,4695,22,0,0,0,139,117,84.17266,102,81,79.411766,92,81,88.04348,65,70.652176,27,10,2
evosuite,BCEL-6,org.apache.bcel.verifier.structurals.LocalVariables,1,346,20209,3175,20,0,0,0,62,45,72.58065,54,29,53.7037,50,45,90.0,29,58.0,21,10,2
evosuite,JXPATH-5,org.apache.commons.jxpath.ri.compiler.Step,1,362,16888,6581,20,0,0,0,54,45,83.33333,50,32,64.0,42,34,80.952385,12,28.57143,30,10,2
evosuite,BCEL-7,org.apache.bcel.util.Class2HTML,1,344,17553,4235,18,0,0,0,95,62,65.26316,45,29,64.44444,42,31,73.809525,16,38.095238,26,10,2
evosuite,JXPATH-2,org.apache.commons.jxpath.ri.compiler.Path,1,354,18142,12173,37,0,4,0,111,69,62.162163,86,53,61.627907,88,59,67.045456,35,39.772728,53,10,2
evosuite,LA4J-10,org.la4j.linear.GaussianSolver,1,360,17768,7998,9,0,0,0,37,12,32.43243,22,6,27.272728,53,20,37.73585,2,3.7735848,51,10,2
evosuite,BCEL-8,org.apache.bcel.generic.BranchInstruction,1,360,18157,14481,21,0,0,0,61,36,59.016396,24,9,37.5,32,19,59.375,7,21.875,25,10,2
evosuite,JXPATH-3,org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,1,392,20789,6842,16,0,0,0,62,49,79.03226,64,46,71.875,49,42,85.71429,13,26.530611,36,10,2
evosuite,BCEL-9,org.apache.bcel.classfile.StackMapEntry,1,628,15570,26,0,0,0,0,189,0,0.0,196,0,0.0,0,0,0.0,0,0.0,0,10,0
evosuite,JXPATH-8,org.apache.commons.jxpath.util.ValueUtils,1,344,16913,5750,26,0,0,0,246,91,36.99187,150,58,38.666664,152,64,42.105263,34,22.368422,118,10,2
evosuite,JXPATH-9,org.apache.commons.jxpath.ri.model.beans.PropertyIterator,1,407,17229,6080,9,0,0,0,154,22,14.285715,98,9,9.183674,122,6,4.9180326,1,0.8196721,121,10,2
evosuite,JXPATH-6,org.apache.commons.jxpath.JXPathContext,1,362,17902,18,63,1,0,0,96,0,0.0,46,0,0.0,50,0,0.0,0,0.0,50,10,2
